zone_name,zone_type,block,area_m2,occ_density,lighting_w_m2,equipment_w_m2,computers_w_m2,heating_setpoint_c,cooling_setpoint_c,mechanical_ventilation_value,min_fresh_air_l_s_person,min_fresh_air_l_s_m2,term_factor,break_factor,summer_factor
Zone 1,1-Standard,Ground Floor,272.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 3,1-Standard,Ground Floor,222.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 4,1-Standard,Ground Floor,16.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 5,1-Standard,Ground Floor,21.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 7,1-Standard,Ground Floor,7.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 6,1-Standard,Ground Floor,11.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 2,1-Standard,Ground Floor,123.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 8,1-Standard,Ground Floor,9.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 9,1-Standard,Ground Floor,16.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 12,1-Standard,Ground Floor,11.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 13,1-Standard,Ground Floor,13.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 14,1-Standard,Ground Floor,30.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 16,1-Standard,Ground Floor,4.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 10,1-Standard,Ground Floor,16.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 19,1-Standard,Ground Floor,7.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 15,1-Standard,Ground Floor,11.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 18,1-Standard,Ground Floor,5.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 17,1-Standard,Ground Floor,4.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 11,1-Standard,Ground Floor,153.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 25,1-Standard,Ground Floor,13.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 31,1-Standard,Ground Floor,23.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 32,1-Standard,Ground Floor,12.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 33,1-Standard,Ground Floor,17.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 30,1-Standard,Ground Floor,5.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 40,1-Standard,Ground Floor,14.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 48,1-Standard,Ground Floor,8.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 39,1-Standard,Ground Floor,4.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 41,1-Standard,Ground Floor,4.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 42,1-Standard,Ground Floor,7.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 43,1-Standard,Ground Floor,9.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 45,1-Standard,Ground Floor,13.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 44,1-Standard,Ground Floor,26.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 46,1-Standard,Ground Floor,13.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 47,1-Standard,Ground Floor,7.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 63,1-Standard,Ground Floor,17.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 66,1-Standard,Ground Floor,45.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 76,1-Standard,Ground Floor,14.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 75,1-Standard,Ground Floor,9.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 78,1-Standard,Ground Floor,4.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 77,1-Standard,Ground Floor,7.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 80,1-Standard,Ground Floor,7.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 81,1-Standard,Ground Floor,4.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 82,1-Standard,Ground Floor,4.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 61,1-Standard,Ground Floor,62.6,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 69,1-Standard,Ground Floor,112.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 68,1-Standard,Ground Floor,61.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 67,1-Standard,Ground Floor,77.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 71,1-Standard,Ground Floor,54.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 72,1-Standard,Ground Floor,33.6,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 60,1-Standard,Ground Floor,49.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
